n,x,y,tipo,idx_unknown,u_num,u_a,EA
133,0.35000000000000003,0.30000000000000004,Interno,133,2.9082788279518595e-05,5.759910300925918e-05,2.8516314729740583e-05
134,0.4,0.30000000000000004,Interno,134,-1.2477161957759513e-05,2.488888888888884e-05,3.736605084664835e-05
135,0.45,0.30000000000000004,Neumann,135,-9.429417091460772e-05,1.1265260416666633e-05,0.00010555943133127435
136,0.5,0.30000000000000004,Neumann,136,-2.5770950946139452e-05,7.842592592592566e-06,3.361354353873202e-05
137,0.55,0.30000000000000004,Neumann,137,-9.429417091460625e-05,1.1265260416666638e-05,0.00010555943133127289
138,0.6000000000000001,0.30000000000000004,Interno,138,-1.2477161957762647e-05,2.4888888888888872e-05,3.736605084665152e-05
139,0.65,0.30000000000000004,Interno,139,2.908278827952338e-05,5.759910300925923e-05,2.8516314729735854e-05
140,0.7000000000000001,0.30000000000000004,Interno,140,8.409015362345185e-05,0.0001202677777777778,3.617762415432595e-05
141,0.75,0.30000000000000004,Interno,141,0.00017699733378219334,0.00021984678819444436,4.2849454412251015e-05
142,0.8,0.30000000000000004,Interno,142,0.0003059233972769052,0.00035109925925925925,4.517586198235404e-05
143,0.8500000000000001,0.30000000000000004,Interno,143,0.00044321126187274115,0.00048596831597222243,4.275705409948128e-05
144,0.9,0.30000000000000004,Interno,144,0.0005254511090571439,0.0005605833333333334,3.513222427618953e-05
145,0.9500000000000001,0.30000000000000004,Interno,145,0.0004385616764684011,0.0004599036863425923,2.1342009874191186e-05
146,1.0,0.30000000000000004,Dirichlet,146,0.0,-0.0,0.0
147,0.0,0.35000000000000003,Dirichlet,147,0.0,0.0,0.0
148,0.05,0.35000000000000003,Interno,148,0.00039798997654401613,0.00042032643711419765,2.233646057018152e-05
149,0.1,0.35000000000000003,Interno,149,0.0004534913834698153,0.0004901503298611113,3.6658946391295965e-05
150,0.15000000000000002,0.35000000000000003,Interno,150,0.00035408301495224283,0.00039857631365740716,4.449329870516433e-05
151,0.2,0.35000000000000003,Interno,151,0.00021459296849471137,0.0002612739197530862,4.668095125837484e-05
152,0.25,0.35000000000000003,Interno,152,9.705954139383611e-05,0.0001396728877314814,4.261334633764528e-05
153,0.30000000000000004,0.35000000000000003,Interno,153,2.9082788279518283e-05,5.7599103009259165e-05,2.851631472974088e-05
154,0.35000000000000003,0.35000000000000003,Interno,154,1.871574293663927e-05,1.5351159336419712e-05,3.364583600219559e-06
155,0.4,0.35000000000000003,Neumann,155,3.668894836536436e-05,1.2175462962962887e-06,3.547140206906807e-05
156,0.45,0.35000000000000003,Externo,-1,,4.3446180555555925e-07,
157,0.5,0.35000000000000003,Externo,-1,,1.5842496141975372e-06,
158,0.55,0.35000000000000003,Externo,-1,,4.3446180555555723e-07,
159,0.6000000000000001,0.35000000000000003,Neumann,156,3.668894836534311e-05,1.2175462962963014e-06,3.547140206904681e-05
160,0.65,0.35000000000000003,Interno,157,1.8715742936643947e-05,1.535115933641975e-05,3.3645836002241975e-06
161,0.7000000000000001,0.35000000000000003,Interno,158,2.9082788279524856e-05,5.7599103009259334e-05,2.8516314729734478e-05
162,0.75,0.35000000000000003,Interno,159,9.705954139384666e-05,0.0001396728877314814,4.261334633763474e-05
163,0.8,0.35000000000000003,Interno,160,0.00021459296849473265,0.0002612739197530864,4.668095125835378e-05
164,0.8500000000000001,0.35000000000000003,Interno,161,0.0003540830149522692,0.00039857631365740754,4.4493298705138365e-05
165,0.9,0.35000000000000003,Interno,162,0.00045349138346984343,0.0004901503298611112,3.665894639126772e-05
166,0.9500000000000001,0.35000000000000003,Interno,163,0.0003979899765440392,0.00042032643711419716,2.2336460570157937e-05
167,1.0,0.35000000000000003,Dirichlet,164,0.0,-0.0,0.0
168,0.0,0.4,Dirichlet,165,0.0,0.0,0.0
169,0.05,0.4,Interno,166,0.00036581429222552346,0.00038899421296296295,2.3179920737439487e-05
170,0.1,0.4,Interno,167,0.0003987227691669317,0.0004369066666666669,3.8183897499735186e-05
171,0.15000000000000002,0.4,Interno,168,0.00028864302776184967,0.0003355823611111109,4.6939333349261246e-05
172,0.2,0.4,Interno,169,0.00014938910419075855,0.00020029629629629624,5.090719210553769e-05
173,0.25,0.4,Interno,170,3.990267532757435e-05,9.000347222222221e-05,5.0100796894647856e-05
174,0.30000000000000004,0.4,Interno,171,-1.2477161957759513e-05,2.488888888888884e-05,3.736605084664835e-05
175,0.35000000000000003,0.4,Neumann,172,3.6688948365363154e-05,1.2175462962962887e-06,3.547140206906686e-05
176,0.4,0.4,Externo,-1,,3.4844444444444533e-06,
177,0.45,0.4,Externo,-1,,1.3864583333333348e-05,
178,0.5,0.4,Externo,-1,,1.896296296296297e-05,
179,0.55,0.4,Externo,-1,,1.3864583333333336e-05,
180,0.6000000000000001,0.4,Externo,-1,,3.484444444444433e-06,
181,0.65,0.4,Neumann,173,3.668894836538428e-05,1.2175462962962983e-06,3.5471402069087984e-05
182,0.7000000000000001,0.4,Interno,174,-1.2477161957762627e-05,2.4888888888888947e-05,3.736605084665158e-05
183,0.75,0.4,Interno,175,3.990267532758309e-05,9.000347222222221e-05,5.0100796894639115e-05
184,0.8,0.4,Interno,176,0.000149389104190781,0.0002002962962962964,5.090719210551541e-05
185,0.8500000000000001,0.4,Interno,177,0.00028864302776188046,0.0003355823611111113,4.6939333349230834e-05
186,0.9,0.4,Interno,178,0.00039872276916696586,0.0004369066666666668,3.8183897499700925e-05
187,0.9500000000000001,0.4,Interno,179,0.0003658142922255505,0.0003889942129629627,2.3179920737412165e-05
188,1.0,0.4,Dirichlet,180,0.0,-0.0,0.0
189,0.0,0.45,Dirichlet,181,0.0,0.0,0.0
190,0.05,0.45,Interno,182,0.00034545056227293613,0.0003692369618055556,2.3786399532619478e-05
191,0.1,0.45,Interno,183,0.0003648742250623899,0.0004042929687500003,3.94187436876104e-05
192,0.15000000000000002,0.45,Interno,184,0.0002489116642883898,0.0002982747395833333,4.936307529494348e-05
193,0.2,0.45,Interno,185,0.00010923009085791034,0.00016588305555555551,5.665296469764517e-05
